Country:GDP per capita:SEDA:HDI:BLI – Labour market insecurity:BLI – Stakeholder engagement for developing regulations:BLI - Dwellings without basic facilities:BLI - Housing expenditure :BLI - Feeling safe walking alone at night:BLI - Rooms per person:BLI - Household net adjusted disposable income:BLI - Household net wealth:BLI - Employment rate:BLI - Long-term unemployment rate:BLI - Personal earnings:BLI - Quality of support network:BLI - Educational attainment:BLI - Student skills:BLI - Years in education:BLI - Air pollution:BLI - Water quality:BLI - Voter turnout:BLI - Life expectancy:BLI - Self-reported health:BLI - Life satisfaction:BLI - Homicide rate:BLI - Employees working very long hours:BLI - Time devoted to leisure and personal care
Afghanistan :547,507::498::::::::::::::::::::::::
Albania :5561,68:54,3:785::::::::::::::::::::::::
Algeria :4229,778:43,1:754::::::::::::::::::::::::
American Samoa :::::::::::::::::::::::::::
Andorra :::858::::::::::::::::::::::::
Angola :3060,018:22,4:581::::::::::::::::::::::::
Anguilla :::::::::::::::::::::::::::
Antigua & Barbuda :18416,163::0,78::::::::::::::::::::::::
Argentina :10604,152:55,8:825::::::::::::::::::::::::
Armenia :4380,864:50,3:755::::::::::::::::::::::::
Aruba :25749,228::::::::::::::::::::::::::
Australia :55421,326:81,6:939:5,4:2,7::20:63,5::32759:427064:73:1,31:49126:95:81:502:21:5:93:91:82,5:85:7,3:1,1:13,04:14,35
Austria :51348,946:83,3:908:3,5:1,3:0,9:21:80,6:1,6:33541:308325:72:1,84:50349:92:85:492:17:16:92:80:81,7:70:7,1:0,5:6,66:14,55
Azerbaijan :4498,179:48:757::::::::::::::::::::::::
Bahamas, The :34831,32::807::::::::::::::::::::::::
Bahrain :25781,347:63,2:846::::::::::::::::::::::::
Bangladesh :1888,857:33,2:608::::::::::::::::::::::::
Barbados :18132,587::0,8::::::::::::::::::::::::
Belarus :6477,157:58,4:808::::::::::::::::::::::::
Belgium :46366,4:80,2:916:3,7:2:1,9:21:70,1:2,2:30364:386006:63:3,54:49675:91:77:503:19,3:15:84:89:81,5:74:6,9:1:4,75:15,7
Belize :4914,377::708::::::::::::::::::::::::
Benin :954,103:31:515::::::::::::::::::::::::
Bermuda :::::::::::::::::::::::::::
Bhutan :3421,105::612::::::::::::::::::::::::
Bolivia :3822,934:40,3:693::::::::::::::::::::::::
Bosnia & Herzegovina :5754,691:47,5:768::::::::::::::::::::::::
Botswana :8263,216:41,2:717::::::::::::::::::::::::
Brazil :9343,548:49,3:759::2,2:6,7::35,6::::61:::90:49:395:16,2:10:73:79:74,8::6,4:26,7:7,13:
British Virgin Is. :::::::::::::::::::::::::::
